Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, DischargeAmps, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
12.1,   10,   4088,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   9510,   1146,   4,   146,   1
12.2,   11,   4093,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   9538,   1146,   4,   147,   1
12.3,   12,   4124,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9540,   1146,   4,   148,   1
12.4,   13,   4114,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9541,   1146,   4,   149,   1
12.5,   13,   4114,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9541,   1146,   4,   150,   1
12.6,   14,   4113,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   9557,   1146,   4,   151,   1
12.7,   15,   4106,   4200,   4157,   4118,   3205,   37,   39,   26,  -10,   9528,   1146,   4,   152,   1
12.8,   16,   4115,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9526,   1146,   4,   153,   1
12.9,   17,   4110,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   9523,   1146,   4,   153,   1
13,   18,   4097,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9965,   1146,   4,   155,   1
13.1,   18,   4097,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9841,   1146,   4,   156,   1
13.2,   19,   4095,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   9839,   1146,   5,   156,   1
13.3,   20,   4091,   4200,   4157,   4118,   3205,   37,   39,   26,  -10,   9841,   1146,   5,   158,   1
13.4,   21,   4095,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9855,   1146,   5,   159,   1
13.5,   22,   4097,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9843,   1146,   5,   159,   1
13.6,   23,   4091,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   9841,   1146,   5,   161,   1
13.7,   23,   4091,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   9832,   1146,   5,   162,   1
13.8,   24,   4086,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9840,   1146,   5,   162,   1
13.9,   25,   4091,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9853,   1146,   5,   163,   1
14,   26,   4095,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10075,   1146,   5,   165,   1
14.1,   27,   4085,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10140,   1146,   5,   165,   1
14.2,   0,   4094,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10123,   1146,   5,   167,   1
14.3,   0,   4094,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10151,   1146,   5,   168,   1
14.4,   1,   4101,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   10136,   1146,   5,   168,   1
14.5,   2,   4107,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   10149,   1146,   5,   170,   1
14.6,   3,   4101,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   10151,   1146,   5,   171,   1
14.7,   4,   4105,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   10135,   1146,   5,   171,   1
14.8,   5,   4102,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10134,   1146,   5,   173,   1
14.9,   5,   4102,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10143,   1146,   5,   174,   1
15,   6,   4092,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10515,   1146,   5,   174,   1
15.1,   7,   4081,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10439,   1144,   5,   176,   1
15.2,   8,   4084,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10456,   1144,   5,   177,   1
15.3,   9,   4089,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10465,   1144,   5,   178,   1
15.4,   9,   4089,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10473,   1144,   5,   179,   1
15.5,   10,   4084,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10464,   1144,   5,   180,   1
15.6,   11,   4088,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   10450,   1144,   5,   181,   1
15.7,   12,   4120,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   10445,   1144,   5,   182,   1
15.8,   13,   4110,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10466,   1144,   5,   183,   1
15.9,   14,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10447,   1144,   5,   184,   1
16,   14,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10834,   1144,   5,   185,   1
16.1,   15,   4101,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10732,   1144,   5,   186,   1
16.2,   16,   4110,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10790,   1144,   5,   187,   1
16.3,   17,   4106,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   10755,   1144,   6,   188,   1
16.4,   18,   4093,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10750,   1144,   6,   190,   1
16.5,   19,   4092,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10759,   1144,   6,   190,   1
16.6,   19,   4092,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10754,   1144,   6,   192,   1
16.7,   20,   4087,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10769,   1144,   6,   193,   1
16.8,   21,   4091,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   10751,   1144,   6,   194,   1
16.9,   22,   4093,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11099,   1144,   6,   195,   1
17,   23,   4087,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11056,   1144,   6,   196,   2
17.1,   24,   4082,   4200,   4157,   4118,   3205,   39,   39,   26,  -12,   11049,   1144,   6,   197,   2
17.2,   25,   4085,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11063,   1144,   6,   198,   2
17.3,   25,   4085,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11047,   1144,   6,   200,   2
17.4,   26,   4091,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11039,   1144,   6,   200,   2
17.5,   27,   4081,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11066,   1144,   6,   202,   2
17.6,   0,   4090,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11043,   1144,   6,   203,   2
17.7,   1,   4096,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11063,   1144,   6,   204,   2
17.8,   2,   4103,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11030,   1144,   6,   205,   2
17.9,   2,   4103,   4200,   4157,   4118,   3205,   39,   39,   26,  -11,   11336,   1144,   6,   206,   2
18,   3,   4096,   4200,   4157,   4118,   3205,   38,   39,   26,  -12,   11388,   1144,   6,   207,   2
18.1,   4,   4100,   4200,   4157,   4118,   3205,   38,   39,   26,  -11,   11389,   1144,   6,   208,   2
